HYBRID_TRANSFORMER_FWD_IN_BCKWD	model_parallel_NPU_group: 16 checkpoints: 3 0 9 18 checkpoint_initiates: 3 26 17 8
28											
Q1	-1	9072581	NONE	0	9072581	ALLREDUCE	805306368	9072581	ALLREDUCE	18874368	1
K1	-1	9072581	NONE	0	9072581	NONE	0	9072581	ALLREDUCE	18874368	1
V1	-1	9072581	NONE	0	9072581	NONE	0	9072581	ALLREDUCE	18874368	1
QK1	-1	756048	NONE	0	756048	NONE	0	756048	NONE	0	1
softmax1	-1	756048	NONE	0	756048	NONE	0	756048	NONE	0	1
concat1	-1	9072581	ALLREDUCE	805306368	9072581	ALLGATHER	50331648	9072581	ALLREDUCE	18874368	1
X1W1b1	-1	36290323	NONE	0	36290323	ALLREDUCE	805306368	36290323	ALLREDUCE	75497472	1
X1W2b2	-1	36290323	ALLREDUCE	805306368	36290323	NONE	0	36290323	ALLREDUCE	75497472	1
layerNorm1	-1	11813	NONE	0	11813	NONE	0	11813	NONE	0	1
Q2	-1	9072581	NONE	0	9072581	ALLREDUCE	805306368	9072581	ALLREDUCE	18874368	1
K2	-1	9072581	NONE	0	9072581	NONE	0	9072581	ALLREDUCE	18874368	1
V2	-1	9072581	NONE	0	9072581	NONE	0	9072581	ALLREDUCE	18874368	1
QK2	-1	756048	NONE	0	756048	NONE	0	756048	NONE	0	1
softmax2	-1	756048	NONE	0	756048	NONE	0	756048	NONE	0	1
concat2	-1	9072581	ALLREDUCE	805306368	9072581	ALLGATHER	50331648	9072581	ALLREDUCE	18874368	1
X2W1b1	-1	36290323	NONE	0	36290323	ALLREDUCE	805306368	36290323	ALLREDUCE	75497472	1
X2W2b2	-1	36290323	ALLREDUCE	805306368	36290323	NONE	0	36290323	ALLREDUCE	75497472	1
layerNorm2	-1	11813	NONE	0	11813	NONE	0	11813	NONE	0	1
Q3	-1	9072581	NONE	0	9072581	ALLREDUCE	805306368	9072581	ALLREDUCE	18874368	1
K3	-1	9072581	NONE	0	9072581	NONE	0	9072581	ALLREDUCE	18874368	1
V3	-1	9072581	NONE	0	9072581	NONE	0	9072581	ALLREDUCE	18874368	1
QK3	-1	756048	NONE	0	756048	NONE	0	756048	NONE	0	1
softmax3	-1	756048	NONE	0	756048	NONE	0	756048	NONE	0	1
concat3	-1	9072581	ALLREDUCE	805306368	9072581	ALLGATHER	50331648	9072581	ALLREDUCE	18874368	1
X3W1b1	-1	36290323	NONE	0	36290323	ALLREDUCE	805306368	36290323	ALLREDUCE	75497472	1
X3W2b2	-1	36290323	ALLREDUCE	805306368	36290323	NONE	0	36290323	ALLREDUCE	75497472	1
layerNorm3	-1	11813	NONE	0	11813	NONE	0	11813	NONE	0	1
projection	-1	26579826	ALLGATHER	147456000	26579826	ALLREDUCE	805306368	26579826	ALLREDUCE	55296000	1
